Date,Time,Latitude,Longitude,Type,Depth,Magnitude,Timestamp,Magnitude Category,DistanceFromRef
02/02/1985,20:52:34,28.399,52.997,Earthquake,36.8,7.4,1985-02-02T20:52:34.000+05:30,High,6452.999595478107
02/13/1985,17:58:27,51.186,-179.753,Earthquake,44.2,7.9,1985-02-13T17:58:27.000+05:30,High,14323.415569353758
02/19/1985,08:39:15,-22.937,-176.687,Earthquake,146.1,8.4,1985-02-19T08:39:15.000+05:30,High,17439.563740036523
02/21/1985,18:53:11,-33.205,-71.768,Earthquake,55.9,12.1,1985-02-21T18:53:11.000+05:30,High,8320.083684319981
03/01/1985,17:11:17,-2.082,119.67,Earthquake,17.1,6.6,1985-03-01T17:11:17.000+05:30,High,13304.30091082666
03/02/1985,15:47:33,-1.964,119.727,Earthquake,43.5,6.6,1985-03-02T15:47:33.000+05:30,High,13310.897819035037
03/06/1985,04:35:03,-12.486,166.522,Earthquake,82.2,8.4,1985-03-06T04:35:03.000+05:30,High,17980.914668176032
03/07/1985,00:55:00,-32.878,-71.878,Earthquake,55.8,10.1,1985-03-07T00:55:00.000+05:30,High,8323.768874635965
03/07/1985,21:08:06,-13.912,-72.612,Earthquake,71.5,6.2,1985-03-07T21:08:06.000+05:30,Moderate,8132.526376365578
03/09/1985,16:07:06,2.935,127.367,Earthquake,52.3,8.2,1985-03-09T16:07:06.000+05:30,High,14156.184468953565
03/10/1985,05:01:45,-0.641,123.288,Earthquake,71.1,6.0,1985-03-10T05:01:45.000+05:30,Moderate,13708.738567644663
03/11/1985,05:11:07,2.005,128.861,Earthquake,54.0,7.7,1985-03-11T05:11:07.000+05:30,High,14325.546325358857
03/11/1985,12:26:10,10.378,125.587,Earthquake,102.9,5.6,1985-03-11T12:26:10.000+05:30,Moderate,13890.363133269477
03/12/1985,08:23:17,-33.072,-72.187,Earthquake,46.7,10.1,1985-03-12T08:23:17.000+05:30,High,8355.90369132346
03/23/1985,13:45:23,-34.207,-72.02,Earthquake,57.0,9.2,1985-03-23T13:45:23.000+05:30,High,8362.909844972679
03/23/1985,14:37:00,-33.249,-72.201,Earthquake,52.6,8.6,1985-03-23T14:37:00.000+05:30,High,8360.592782917885
03/26/1985,19:28:35,-15.237,-71.727,Earthquake,127.2,6.5,1985-03-26T19:28:35.000+05:30,Moderate,8049.489289888837
04/08/1985,16:17:13,-5.717,154.062,Earthquake,47.7,5.1,1985-04-08T16:17:13.000+05:30,Low,17066.43127833871
04/10/1985,20:37:34,49.988,159.416,Earthquake,27.6,14.0,1985-04-10T20:37:34.000+05:30,High,14122.440000216513
04/24/1985,12:16:08,-5.823,149.167,Earthquake,121.7,5.4,1985-04-24T12:16:08.000+05:30,Low,16531.93246066952
04/26/1985,15:53:19,-17.735,168.346,Earthquake,108.0,6.3,1985-04-26T15:53:19.000+05:30,Moderate,17666.87526859616
04/29/1985,10:17:10,13.398,145.54,Earthquake,61.5,6.2,1985-04-29T10:17:10.000+05:30,Moderate,15937.490940663594
05/02/1985,15:56:32,1.565,126.416,Earthquake,46.3,5.1,1985-05-02T15:56:32.000+05:30,Low,14055.064948957222
05/03/1985,07:02:53,11.853,-86.93,Earthquake,87.7,6.4,1985-05-03T07:02:53.000+05:30,Moderate,9673.460481663478
05/06/1985,03:04:23,30.885,70.269,Earthquake,36.6,7.2,1985-05-06T03:04:23.000+05:30,High,8134.807756672495
05/18/1985,05:09:24,-17.755,-178.126,Earthquake,611.0,7.2,1985-05-18T05:09:24.000+05:30,High,18030.206900890968
05/30/1985,18:47:24,28.798,140.344,Earthquake,39.6,6.7,1985-05-30T18:47:24.000+05:30,High,14725.402324433737
06/01/1985,02:03:13,12.167,144.421,Earthquake,23.1,5.2,1985-06-01T02:03:13.000+05:30,Low,15863.013408442663
06/03/1985,02:45:32,13.175,-90.138,Earthquake,65.5,5.2,1985-06-03T02:45:32.000+05:30,Low,10022.484448395864
06/04/1985,11:04:19,13.438,-89.879,Earthquake,42.3,7.6,1985-06-04T11:04:19.000+05:30,High,9994.45693491445
06/07/1985,09:36:12,28.735,140.342,Earthquake,47.8,7.6,1985-06-07T09:36:12.000+05:30,High,14728.750948618612
06/10/1985,03:23:32,3.029,-78.578,Earthquake,17.7,6.3,1985-06-10T03:23:32.000+05:30,Moderate,8739.273495850008
06/12/1985,11:03:05,15.765,-93.966,Earthquake,62.9,7.0,1985-06-12T11:03:05.000+05:30,High,10431.9292207813
06/21/1985,04:31:13,-28.437,-175.953,Earthquake,46.7,9.0,1985-06-21T04:31:13.000+05:30,High,16823.824751905995
06/23/1985,13:01:37,-11.012,163.584,Earthquake,35.8,9.1,1985-06-23T13:01:37.000+05:30,High,17826.48177213974
06/23/1985,13:46:28,-10.945,163.676,Earthquake,39.4,7.3,1985-06-23T13:46:28.000+05:30,High,17838.960877395657
06/23/1985,19:49:54,-10.937,163.76,Earthquake,32.1,5.9,1985-06-23T19:49:54.000+05:30,Moderate,17847.13518002405
07/06/1985,08:33:07,-33.397,-72.151,Earthquake,40.2,8.0,1985-07-06T08:33:07.000+05:30,High,8358.880868495233
07/19/1985,14:34:01,-38.778,176.973,Earthquake,51.9,6.3,1985-07-19T14:34:01.000+05:30,Moderate,15692.11745786605
07/22/1985,09:06:13,-6.312,148.83,Earthquake,49.9,6.5,1985-07-22T09:06:13.000+05:30,Moderate,16485.81360367616
07/22/1985,11:25:26,-6.398,148.837,Earthquake,42.4,6.1,1985-07-22T11:25:26.000+05:30,Moderate,16484.853472635543
07/31/1985,07:37:55,52.404,173.487,Earthquake,45.7,7.1,1985-07-31T07:37:55.000+05:30,High,14156.427969550115
08/04/1985,02:36:24,7.496,123.5,Earthquake,35.6,6.2,1985-08-04T02:36:24.000+05:30,Moderate,13696.602945297705
08/10/1985,04:12:46,-6.014,105.393,Earthquake,93.5,8.1,1985-08-10T04:12:46.000+05:30,High,11709.515060559092
08/13/1985,07:31:32,-3.844,128.545,Earthquake,128.0,6.6,1985-08-13T07:31:32.000+05:30,High,14282.140427604201
08/18/1985,03:48:04,2.807,128.216,Earthquake,65.7,5.4,1985-08-18T03:48:04.000+05:30,Low,14250.952504849107
09/07/1985,10:20:50,37.445,21.235,Earthquake,31.0,5.2,1985-09-07T10:20:50.000+05:30,Low,4699.756984711216
09/11/1985,20:45:50,39.356,75.407,Earthquake,15.3,8.5,1985-09-11T20:45:50.000+05:30,High,8758.396126061687
09/24/1985,20:28:52,-6.405,130.037,Earthquake,146.6,5.1,1985-09-24T20:28:52.000+05:30,Low,14426.116181813433
09/25/1985,07:43:57,18.208,-102.74,Earthquake,29.9,13.3,1985-09-25T07:43:57.000+05:30,High,11352.131920764317
09/29/1985,05:28:19,-23.288,179.241,Earthquake,541.2,6.3,1985-09-29T05:28:19.000+05:30,Moderate,17424.28090527413
10/02/1985,10:49:37,-14.96,-178.721,Earthquake,413.7,10.6,1985-10-02T10:49:37.000+05:30,High,18345.680532069975
10/02/1985,20:40:03,-19.499,169.843,Earthquake,37.6,6.2,1985-10-02T20:40:03.000+05:30,Moderate,17580.569044742813
10/21/1985,02:36:10,-13.598,166.002,Earthquake,32.9,15.4,1985-10-21T02:36:10.000+05:30,High,17855.66443530797
10/22/1985,19:14:02,-20.158,-179.163,Earthquake,700.0,23.8,1985-10-22T19:14:02.000+05:30,High,17771.76826118995
10/29/1985,15:02:28,18.158,-102.548,Earthquake,38.8,6.9,1985-10-29T15:02:28.000+05:30,High,11332.286212483175
11/01/1985,22:02:26,18.226,146.427,Earthquake,78.0,9.2,1985-11-01T22:02:26.000+05:30,High,15824.682950990567
11/04/1985,21:23:09,13.667,120.194,Earthquake,77.4,6.2,1985-11-04T21:23:09.000+05:30,Moderate,13260.49109665472
11/08/1985,20:02:05,27.8,140.624,Earthquake,41.2,10.2,1985-11-08T20:02:05.000+05:30,High,14804.467432915062
12/14/1985,02:51:46,-25.007,-64.756,Earthquake,12.5,5.3,1985-12-14T02:51:46.000+05:30,Low,7479.352417264152
12/16/1985,08:07:16,3.717,126.758,Earthquake,60.8,16.3,1985-12-16T08:07:16.000+05:30,High,14084.842173499286
12/20/1985,03:49:09,-3.652,140.311,Earthquake,43.8,8.4,1985-12-20T03:49:09.000+05:30,High,15586.30550876613
12/23/1985,18:15:09,-13.979,166.32,Earthquake,42.1,8.0,1985-12-23T18:15:09.000+05:30,High,17850.888076749223
